symbol,direction,entry_time,exit_time,entry_price,exit_price,size,original_size,contract_multiplier,score,pnl,pnl_pct,bars_held,reason_exit,reason_entry,partial_exit
MA0,long,2016-10-27,2016-11-07,2333.5,2331.5,2,2,10,95,-52.0,-0.000857,8,stop_loss,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 49.43, 'bb_width': 0.1924, 'vol_ratio': 1.51, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 2326.0, 'latest_swing_low': 2014.0, 'trigger_level': 2326.0, 'structure_stop_loss': 1996.3643}",False
C0,long,2016-11-09,2016-11-14,1572.5,1538.0,4,4,10,95,-1404.0,-0.02194,4,stop_loss,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 28.39, 'bb_width': 0.1014, 'vol_ratio': 1.82, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 1538.0, 'latest_swing_low': 1489.0, 'trigger_level': 1538.0, 'structure_stop_loss': 1480.0}",False
TA0,long,2017-02-14,2017-03-09,5838.5,5403.5,2,2,5,95,-4362.0,-0.074505,17,dow_state_exit,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 33.63, 'bb_width': 0.1123, 'vol_ratio': 1.69, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 5804.0, 'latest_swing_low': 5362.0, 'trigger_level': 5804.0, 'structure_stop_loss': 5331.0143}",False
C0,long,2017-03-23,2017-04-11,1710.5,1634.9214,4,4,10,95,-3047.14,-0.044185,12,stop_loss,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 31.68, 'bb_width': 0.0881, 'vol_ratio': 1.56, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 1698.0, 'latest_swing_low': 1645.0, 'trigger_level': 1698.0, 'structure_stop_loss': 1636.9214}",False
MA0,short,2017-04-17,2017-05-19,2386.5,2388.5,1,1,10,95,-26.0,-0.000838,24,stop_loss,"{'signal_type': 'short_123', 'dow_state': 'BEAR_CONFIRMED', 'pure_state': 'BEAR_TREND', 'adx': 41.06, 'bb_width': 0.1228, 'vol_ratio': 1.51, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': False, 'higher_low': False, 'lower_high': True, 'lower_low': True, 'latest_swing_high': 2675.0, 'latest_swing_low': 2457.0, 'trigger_level': 2457.0, 'structure_stop_loss': 2698.4643}",False
FG0,long,2017-07-20,2017-08-14,1454.5,1405.5,1,1,20,95,-986.0,-0.033689,17,dow_trend_reversal,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 32.21, 'bb_width': 0.1391, 'vol_ratio': 2.38, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 1397.0, 'latest_swing_low': 1340.0, 'trigger_level': 1397.0, 'structure_stop_loss': 1330.55}",False
TA0,long,2018-01-25,2018-03-12,5750.5,5585.5,3,3,5,95,-2493.0,-0.028693,27,dow_state_exit,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 26.26, 'bb_width': 0.0508, 'vol_ratio': 1.98, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 5714.0, 'latest_swing_low': 5558.0, 'trigger_level': 5714.0, 'structure_stop_loss': 5535.6286}",False
TA0,long,2018-05-08,2018-05-28,5670.5,5668.5,3,3,5,95,-48.0,-0.000353,15,stop_loss,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 26.81, 'bb_width': 0.0626, 'vol_ratio': 1.76, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 5642.0, 'latest_swing_low': 5560.0, 'trigger_level': 5642.0, 'structure_stop_loss': 5540.5429}",False
RM0,short,2018-06-11,2018-07-02,2383.5,2579.65,2,2,10,95,-3935.0,-0.082295,15,stop_loss,"{'signal_type': 'short_123', 'dow_state': 'BEAR_CONFIRMED', 'pure_state': 'BEAR_TREND', 'adx': 24.22, 'bb_width': 0.0687, 'vol_ratio': 1.72, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': False, 'higher_low': False, 'lower_high': True, 'lower_low': True, 'latest_swing_high': 2564.0, 'latest_swing_low': 2404.0, 'trigger_level': 2404.0, 'structure_stop_loss': 2577.65}",False
TA0,long,2018-08-17,2018-09-12,7408.5,7501.5,1,1,5,95,459.0,0.012553,18,dow_state_exit,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 53.91, 'bb_width': 0.2462, 'vol_ratio': 3.13, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 7074.0, 'latest_swing_low': 5838.0, 'trigger_level': 7074.0, 'structure_stop_loss': 5769.6429}",False
RM0,short,2018-12-25,2019-01-11,2109.5,2170.5,3,3,10,95,-1848.0,-0.028917,11,dow_trend_reversal,"{'signal_type': 'short_123', 'dow_state': 'BEAR_CONFIRMED', 'pure_state': 'BEAR_TREND', 'adx': 48.73, 'bb_width': 0.0544, 'vol_ratio': 1.99, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': False, 'higher_low': False, 'lower_high': True, 'lower_low': True, 'latest_swing_high': 2244.0, 'latest_swing_low': 2151.0, 'trigger_level': 2151.0, 'structure_stop_loss': 2254.8429}",False
FG0,long,2019-06-12,2019-07-24,1477.5,1487.5,2,2,20,95,388.0,0.006768,30,time_stop,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 39.05, 'bb_width': 0.0621, 'vol_ratio': 2.91, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 1427.0, 'latest_swing_low': 1358.0, 'trigger_level': 1427.0, 'structure_stop_loss': 1350.3929}",False
V0,short,2020-03-20,2020-03-24,5994.5,5740.5,1,2,5,95,1264.0,0.042372,3,partial_exit_1R5,"{'signal_type': 'short_123', 'dow_state': 'BEAR_CONFIRMED', 'pure_state': 'BEAR_TREND', 'adx': 33.59, 'bb_width': 0.0644, 'vol_ratio': 2.09, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': False, 'higher_low': False, 'lower_high': True, 'lower_low': True, 'latest_swing_high': 6260.0, 'latest_swing_low': 5995.0, 'trigger_level': 5995.0, 'structure_stop_loss': 6286.1429}",True
V0,short,2020-03-20,2020-04-02,5994.5,5234.8571,1,2,5,95,3792.21,0.126723,10,stop_loss,"{'signal_type': 'short_123', 'dow_state': 'BEAR_CONFIRMED', 'pure_state': 'BEAR_TREND', 'adx': 33.59, 'bb_width': 0.0644, 'vol_ratio': 2.09, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': False, 'higher_low': False, 'lower_high': True, 'lower_low': True, 'latest_swing_high': 6260.0, 'latest_swing_low': 5995.0, 'trigger_level': 5995.0, 'structure_stop_loss': 6286.1429}",False
MA0,long,2020-09-16,2020-09-30,2084.5,1924.5643,2,2,10,95,-3210.71,-0.076726,11,stop_loss,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 27.16, 'bb_width': 0.1007, 'vol_ratio': 1.8, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 2079.0, 'latest_swing_low': 1940.0, 'trigger_level': 2079.0, 'structure_stop_loss': 1926.5643}",False
